Disponibilité,Carrosserie,Garantie,Nombre de places,Nombre de portes,Nombre de cylindres,Energie,Puissance fiscale,Puissance (ch.din),Couple,Cylindrée,Boîte,Nombre de rapports,Transmission,Longueur,Largeur,Hauteur,Volume du coffre,0-100 Km/h,Vitesse maxi,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,ABS,Airbags,Anti-démarrage électronique,Contrôle de pression des pneus,Fixations ISOFIX,Anti-patinage,Aide au stationnement,Assistance au freinage,Alerte de franchissement de ligne,Direction assistée,Régulateur de vitesse,Limiteur de vitesse,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Lave Phares,Phares,Autoradio,Connectivité,Ecran central,Accoudoirs,Appuis têtes arrières,Finition intérieure,Pommeau de levier de vitesse,Sellerie,Sièges,Sièges réglables en hauteur,Tapis de sol,Vitres,Volant,Volant réglable,Bouton Start & Stop,Climatisation,Fermeture centralisée,Ordinateur de bord,Système Start & Stop,Rétroviseurs extérieurs,Rétroviseur intérieur,Vitres électriques,prix,description,Peinture,Aide au maintien dans la voie,Boîte à gants réfrigérée,Rideau de benne,Stores pare-soleil,Kit rangement,Freinage,Voiture populaire,Coffre à bagages,Préparation pour téléphone,Kit sécurité,Stabilisateur de vent latéral,DSC,Poignées de portes,Spoiler arrière,Affichage tête haute,Train roulant,Charge utile,Arceau de benne,Version pays chauds,Détecteur de fatigue,Fermeture assistée des portes,Nombre de moteurs électriques,Autonomie électrique WLTP,Contrôle de stabilité anti-retournement,Allumage automatique des feux,Contrôle adaptatif de la charge,Volume utile,Aide au démarrage en côte,Calandre,Pack nuit,Toit,Puissance avec overboost (ch.din),Assistant de feux de route,Conduite autonome,Surface de chargement,Pédaliers,Volume du coffre maximal,Éclairage d'accompagnement,Boulons de roues protégés,Baguettes extérieures d'encadrement des vitres,Boule d'attelage,Kit fumeurs,4 roues directrices,Surveillance d’angle mort,Modes de conduite,Différentiel autobloquant,Clé intelligente,Cloison entre cabine et compartiment arrière,Temps de recharge normale,Instrumentation digitale,Suspension,Batterie,Terrain Response,Alerte de circulation transversale,Ciel de pavillon,Pneumatiques runflat,Kit éclairage,Marchepieds latéraux,Reconnaissance des panneaux,Frein de stationnement,Détection des piétons,Tableau de bord,Barre stabilisatrice,Puissance électrique,Caméra d'angle mort,Emissions de CO2,Seuils de portes,Couple électrique,Dynamic Response,Lumières d'ambiance,Alimentation électrique,Système de descente en côte,Carte mains libres,Navigation,Temps de recharge rapide,Pack aérodynamique M,Alarme antivol,Détecteur de pluie,Contrôle du roulis de la remorque,Barres de toit,Consommation électrique WLTP,Volume du coffre avant,Kit carrosserie,Sorties d’échappement
Disponible,SUV,2 ans ou 100.000 km,5,5,4,Diesel,5CV,86CH,200nm1750tr/min,1461CM³,Manuelle,5,Traction,4341mm,1804mm,1687mm,445L,12.6s,158KM/H,5.2L/100 km,5L/100 km,5.1L/100 km,,Frontaux | Latéraux,,,,ESC,Radar de recul | Caméra de recul,AFU,,Électrique,,,,Poignées de portes,Feux de jour,En aluminium | 16'',,,Commandes au volant | Media Nav Evolution,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 7 pouces,,3,Chromée,,Tissu,,Conducteur,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Dégivrants | Chromés,,Avant/Arrière,88 700 DT TTC,Dacia Duster1.5 L dCi 4x2 Confort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,Chromées,,,,
Disponible,SUV,2 ans ou 100.000 km,5,5,4,Diesel,6CV,109CH,260nm2000tr/min,1461CM³,Manuelle,6,Intégrale,4341mm,1804mm,1678mm,445L,12.1s,169KM/H,5.7L/100 km,5.9L/100 km,5.2L/100 km,,Frontaux | Latéraux,,,,ESC,Radar de recul | Caméra de recul,AFU,,Électrique,,,,Poignées de portes,Feux de jour,En aluminium | 16'',,Signature LED,Commandes au volant | Media Nav Evolution,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 7 pouces,,3,Chromée,,Tissu,,Conducteur,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Dégivrants | Chromés,,Avant/Arrière,98 950 DT TTC,Dacia Duster1.5 L dCi 4x4 Confort,,,,,,Poches aumônières,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,Chromées,,,,
Disponible,SUV,2 ans ou 100.000 km,5,5,4,Diesel,6CV,109CH,260nm2000tr/min,1461CM³,Automatique,6,Traction,4341mm,1804mm,1687mm,445L,12.6s,158KM/H,5.2L/100 km,5L/100 km,5.1L/100 km,,Frontaux | Latéraux,,,,ESC,Radar de recul | Caméra de recul,AFU,,Électrique,,,,Poignées de portes,Feux de jour | Avant,En aluminium | 17'',,,Commandes au volant | Media Nav Evolution,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 7 pouces,,3,Argent satiné,,Tissu,,Conducteur,,Teintées,Cuir | Chrome,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Dégivrants | Chromés,,Avant/Arrière,99 990 DT TTC,Dacia Duster1.5 L dCi 4x2  Confort BVA,,,,,,Poches aumônières,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,Eco,,,,,,,,,,,,,,,,,,,,,,,,,,2 prises 12 V,,,,,,,,,Chromées,,,,
Disponible,Pick up,2 ans,2,2,4,Essence,5CV,58CH,88nm3000tr/min,1000CM³,Manuelle,5,Propulsion,3910mm,1560mm,1810mm,,N.C,115KM/H,,,7.5L/100 km,,,,,,,,,,,,,,,,13'',,,,USB,,,,,,Tissu,,,,,,,,,,,,,,,29 900 DT TTC,DFSK K01SSimple Cabine STD,,,,,,,,,,,,,,,,,,985KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indisponible,Pick up,2 ans,2,2,4,Essence,5CV,58CH,88nm3000tr/min,1000CM³,Manuelle,5,Propulsion,3910mm,1560mm,1810mm,,N.C,115KM/H,,,7.5L/100 km,,,,,,,,,,,,,,,,13'',,,,USB,,,,,,Tissu,,,,,,,,Manuelle,,,,,,,31 900 DT TTC,DFSK K01SSimple Cabine DLX,,,,,,,,,,,,,,,,,,985KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En pré-commande,Pick up,2 ans,2,2,4,Essence,6CV,50CH,83nm3000tr/min,1050CM³,Manuelle,5,Propulsion,4500mm,1560mm,1850mm,,N.C,N.C,,,6.1L/100 km,,,,,,,,,,,,,,,,13'',,,,USB,,,,,,Tissu,,,,,,,,,,,,,,,35 900 DT TTC,DFSK K01HLarge Cabine 1.1 l STD,,,,,,,,,,,,,,,,,,915KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Pick up,2 ans,4,4,4,Essence,5CV,58CH,88nm3000tr/min,1000CM³,Manuelle,5,Propulsion,4600mm,1560mm,1840mm,,N.C,115KM/H,,,7.5L/100 km,,,,,,,,,,,,,,,,13'',,,,USB,,,,,,Tissu,,,,,,,,,,,,,,,39 900 DT TTC,DFSK K02S1.0 l Double Cabine STD,,,,,,,,,,,,,,,,,,875KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Pick up,2 ans,4,4,4,Essence,5CV,58CH,88nm3000tr/min,1000CM³,Manuelle,5,Propulsion,4600mm,1560mm,1840mm,,N.C,115KM/H,,,7.5L/100 km,,,,,,,,,,,,,,,,13'',,,,USB,,,,,,Tissu,,,,,,,,Manuelle,,,,,,,41 900 DT TTC,DFSK K02S1.0 l Double Cabine DLX,,,,,,,,,,,,,,,,,,875KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 mois,Berline,3 ans,5,4,4,Essence,5CV,95CH,127nm4500tr/min,1368CM³,Manuelle,6,Traction,4532mm,1790mm,1497mm,520L,11.5s,185KM/H,7.7L/100 km,4.6L/100 km,5.7L/100 km,,Frontaux,,,,,,PBA,,,,,,Pare-chocs,,En aluminium | 16'',,,4 haut-parleurs,USB | Bluetooth,,Avant,2,,,Tissu,,Conducteur et passager,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Dégivrants,,Avant/Arrière,78 500 DT TTC,Fiat Tipo Berline1.4 L Entry Plus,Métallisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Utilitaire,3 ans,3,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,4,Diesel,7CV,140CH,340nm1750tr/min,2179CM³,Manuelle,6,Traction,4963mm,2050mm,2254mm,,N.C,152KM/H,N.C,N.C,8L/100 km,,Frontal conducteur,,,,,Radar de recul,EBD,,Dual Drive,,,,,,,,,2 haut-parleurs,USB,,Avant,,,,Tissu,,Conducteur,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Avec clignotants intégrés,,Avant,90 400 DT TTC,Fiat Ducato2.2 HDI 8m3 L1H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,Utilitaire,3 ans,3,2 portes latérales coulissantes | 2 portes arrières battantes tolées | 6,4,Diesel,7CV,140CH,340nm1750tr/min,2179CM³,Manuelle,6,Traction,5413mm,2050mm,2254mm,,N.C,152KM/H,N.C,N.C,8L/100 km,,Frontal conducteur,,,,,Radar de recul,EBD,,Dual Drive,,,,,,,,,2 haut-parleurs,USB,,Avant,,,,Tissu,,Conducteur,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Avec clignotants intégrés,,Avant,92 400 DT TTC,Fiat Ducato2.2 HDI 11.5 m3 L1H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,3 ans ou 100.000 KM,5,5,3,Essence,8CV,150CH,240nm1500tr/min,1496CM³,Automatique,8,Traction,4610mm,2000mm,1690mm,575L,10s,195KM/H,8.1L/100 km,5.8L/100 km,6.6L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP | TVC,Radar de recul | Caméra de recul,EBA | Système anti-collision avec détection des piétons,,,,,LED,,,En aluminium | 17'',,Full LED,6 haut-parleurs | SYNC 3 | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant,3,,Rotatif,Tissu,Banquette arrière coulissante,Conducteur,,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,116 900 DT TTC,Ford Kuga1.5 L Ecoboost  Trend Plus BVA,,,,,,,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481L,,,,,,,,Normal | Sport | Eco | Piste | Glissant,,Accès mains libres,,,12.3'',,,,,,,,,,Éléctrique,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,Chromées | Doubles
Disponible,SUV,3 ans ou 100.000 KM,5,5,3,Essence,10CV,186CH,240nm1500tr/min,1496CM³,Automatique,8,Traction,4610mm,2000mm,1690mm,575L,10s,195KM/H,9.2L/100 km,6.3L/100 km,7.4L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP | TVC,Radar de recul | Radar avant | Radar latéral | Caméra de recul | Caméra avant | Parkassist,EBA | Système anti-collision avec détection des piétons,,,Adaptatif,,LED,,Feux de jour | Avant,En aluminium | 18'',,Full LED,10 haut-parleurs | Haut-parleurs Bang & Olufsen | SYNC 3 | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,3,,Rotatif,Cuir/Tissu,Conducteur à réglage électrique | 10 directions | Réglage lombaire | Banquette arrière coulissante,Conducteur et passager,Premium,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,145 990 DT TTC,Ford Kuga1.5 L Ecoboost  Titanium BVA,,,,,,Porte-lunettes,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,Chromée,,Ouvrant | Panoramique,,,,,,1481L,,,,,,,,Normal | Sport | Eco | Piste | Glissant,,Accès mains libres,,,12.3'',,,,,,,,,,Éléctrique,,,,,,,,,,,1 prise 12 V,,,Cartographie Tunisienne,,,,,,,,,,Chromées | Doubles
Disponible,SUV,3 ans ou 60.000 km,7,5,4,Diesel,13CV,210CH,500nm1750tr/min,1996CM³,Automatique,10,Intégrale,4914mm,1923mm,1841mm,898L,10.4s,180KM/H,8.9L/100 km,6.7L/100 km,7.5L/100 km,,Frontaux | Latéraux | Rideaux | Genoux | Centraux,,,,TCS,Radar de recul | Radar avant | Caméra de recul,EBA,,Électrique,,,LED,,Feux de jour | Avant,En aluminium | 18'',,Full LED,SYNC | 8 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10 pouces,Avant,3,,Cuir,Cuir,Conducteur à réglage électrique | 8 directions | Réglage lombaire | Banquette arrière coulissante,Conducteur,Premium,Teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | 3 zones,À distance,Supervision TFT LCD,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,257 000 DT TTC,Ford Everest2.0 L Bi-Turbo XLT 7 places,Métallisée,,,,,,,,,,,,,,,,,,,,,,,,RSC,,,,,,,,,,,,,,,,,,,,,Normal | Eco | Charge lourde | Faible adhérence | Boue\ornière | Sable,,Accès mains libres,,,8 pouces,,,,,,,,,,Éléctrique,,,,,,,,,,,2 prises 12 V,HDC,,,,,,,,,,,,
1 mois | En pré-commande,Pick up,3 ans,5,4,4,Diesel,7CV,170CH,405nm1750tr/min,1996CM³,Automatique,6,Intégrale,5370mm,1918mm,1884mm,,11.6s,180KM/H,9.8L/100 km,6.9L/100 km,7.9L/100 km,,Frontaux | Latéraux | Rideaux | Genoux | Centraux,,,,ESP,Radar de recul | Caméra de recul,,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,En aluminium | 18'',,,6 haut-parleurs,USB | USB-C | Bluetooth | Commande vocale,Tactile | 10.1 pouces,Avant | Arrière,3,,Cuir,Tissu,,Conducteur et passager,,Pare-brise en verre feuilleté,Cuir | Multi-fonctions,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,165 000 DT TTC,Ford Ranger2.0 L 170 ch 4x4  XLT BVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,Arrière,,,,Digital Cockpit | 8 pouces,,,,,,,,,,,,,,,,203g/km,,,,,2 prises 12 V,,,,,,,,,,,,,
1 mois | En pré-commande,Pick up,3 ans ou 60.000 km,5,4,4,Diesel,5CV,210CH,500nm1750tr/min,1996CM³,Automatique,10,Intégrale,5370mm,1918mm,1884mm,,10.5s,180KM/H,8.8L/100 km,6.8L/100 km,7.5L/100 km,,Frontaux | Latéraux | Rideaux | Genoux | Centraux,,,,ESP,Radar de recul | Radar avant | Caméra de recul,Système anti-collision avec détection des piétons | Freinage multi-collision,,,,,LED,Pare-chocs | Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 18'' | Medium Boulder Grey,,Full LED,6 haut-parleurs,USB | USB-C | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.1 pouces,Avant | Arrière,3,,Cuir,Cuir,Conducteur à réglage électrique | 8 directions | Chauffants,Conducteur et passager,Velours,Pare-brise en verre feuilleté,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Chromés | Avec clignotants intégrés | Éclairage d'accueil à LED,,Avant/Arrière,220 000 DT TTC,Ford Ranger2.0 L TDCI 210 ch 4x4  Wildtrak BVA,,,,Électrique | Ouverture et fermeture à distance,,Porte-lunettes,,,,,,,,,,,,1020KG,,,,,,,,,,1.3m³,,Medium Boulder Grey,,,,AHBA,,,,,,,,,,,,,Arrière,Accès mains libres,,,Digital Cockpit | 8 pouces,,,,,,,,Chromés,,Éléctrique,,Similicuir,,,,199g/km,,,,,2 prises 230 V,,,,,,Volumétrique | Anti-soulèvement,,,Argent,,,,
1 mois,Utilitaire,2 ans,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,7CV,125CH,350nm2100tr/min,2198CM³,Manuelle,6,Traction,5531mm,2059mm,2549mm,N/AL,N.C,170KM/H,8.7L/100 km,6.6L/100 km,7.4L/100 km,,Frontaux,,,,ESP | TCS,Radar de recul | Radar avant,EBA,,,,,,,,16'',,,2 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,Avant conducteur,,,,Tissu,,Conducteur,,Teintées,,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Dégivrants,,Avant,95 500 DT TTC,Ford Transit Van2.2 l D 330 M L2H2,,,,,,,,,,,,,,,,,,1310KG,,,,,,,RSC,,,10m³,,Noire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,Berline,3 ans ou 100.000 KM,5,4,4,Essence,6CV,120CH,145nm4300tr/min,1498CM³,Automatique,,Traction,4553mm,1748mm,1467mm,509L,10.2s,196KM/H,7L/100 km,4.8L/100 km,5.4L/100 km,,Frontaux,,TPMS,,VSA,Radar de recul | Caméra de recul,EBD,,EPS | Électrique,,,LED,Poignées de portes | Rétroviseurs,Feux de jour | Arrières,En aluminium | 16'' | Bi-ton,,,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant,3,,Cuir,Cuir,,Conducteur,,,Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec capuchons noirs,,Avant/Arrière,82 990 DT TTC,Honda City1.5 L CVT LX Sport +,,,,,,Poches aumônières,,,Ouverture à distance,,,,,,Noir,,,,,,,,,,,,,,,Noire | Grille en nid d'abeille,,,,,,,,,,,,,,,,Eco,,Accès mains libres | Démarrage à distance,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,4,Essence,5CV,83CH,113nm4000tr/min,1197CM³,Manuelle,5,Traction,3805mm,1680mm,1510mm,260L,12.3s,165KM/H,6.9L/100 km,4.7L/100 km,5.5L/100 km,,Frontaux,,,,,,,,Électrique,,,,Poignées de portes,,En aluminium | 15'',,,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,,,,Cuir,Tissu,,Conducteur et passager,,,Cuir | Multi-fonctions,En hauteur,,Manuelle,À distance,,,Électriques | Rabattables,,Avant/Arrière,51 500 DT TTC,Hyundai Grand i101.2 L GLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,4,Essence,5CV,83CH,113nm4000tr/min,1197CM³,Manuelle,5,Traction,3805mm,1680mm,1510mm,260L,12.3s,165KM/H,6.9L/100 km,4.7L/100 km,5.5L/100 km,,Frontaux,,,,,Radar de recul | Caméra de recul,,,Électrique,,,,Rétroviseurs,,En aluminium | 15'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 8 pouces,,,,Cuir,Tissu,,Conducteur et passager,,,Cuir | Multi-fonctions,En hauteur,Démarrage mains libres,Manuelle,À distance,,,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,55 600 DT TTC,Hyundai Grand i101.2 L High Grade,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,4,Essence,5CV,83CH,113nm4000tr/min,1197CM³,Automatique,4,Traction,3805mm,1680mm,1510mm,260L,12.3s,165KM/H,7.4L/100 km,5.1L/100 km,5.9L/100 km,,Frontaux,,,,,Radar de recul | Caméra de recul,,,Électrique,,,,Rétroviseurs,,En aluminium | 15'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 8 pouces,,,,Cuir,Tissu,,Conducteur et passager,,,Cuir | Multi-fonctions,En hauteur,Démarrage mains libres,Manuelle,À distance,,,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,59 950 DT TTC,Hyundai Grand i101.2 L  High Grade BVA,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,4,Essence,5CV,84CH,122nm4000tr/min,1197CM³,Manuelle,5,Traction,4040mm,1775mm,1450mm,352L,13.1s,170KM/H,6L/100 km,4.1L/100 km,4.8L/100 km,,Frontaux | Latéraux,,,,ESP,Radar de recul,,,Électrique,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,En aluminium | 16'',,,2 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,,Avant,2,,Cuir,Tissu,,Conducteur et passager,,,Cuir,En hauteur et en profondeur,,Manuelle,À distance,,,Électriques | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,63 950 DT TTC,Hyundai i201.2 L GLS,Métallisée,,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,4,Essence,5CV,84CH,122nm4000tr/min,1197CM³,Manuelle,5,Traction,4040mm,1775mm,1450mm,352L,13.1s,170KM/H,6L/100 km,4.1L/100 km,4.8L/100 km,,Frontaux | Latéraux,,,,ESP,Radar de recul | Caméra de recul,,,Électrique,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,En aluminium | 17'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale,Tactile | 8 pouces,Avant,2,,Cuir,Tissu,,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,68 950 DT TTC,Hyundai i201.2 L High Grade,Métallisée,LKA,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,Noire,,,,,,,,,,,,,,,,,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sur arrivage,Citadine,5 ans,5,5,3,Essence,5CV,100CH,172nm1500tr/min,998CM³,Automatique,7,Traction,4040mm,1775mm,1450mm,352L,10.4s,188KM/H,,,5.2L/100 km,,Frontaux | Latéraux,,,,ESP,Radar de recul | Radar avant | Caméra de recul,,,Électrique,,,,Pare-chocs | Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 17'',,Full LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,2,,Cuir | N-Line | Sport,Tissu | Surpiqures,Sport,Conducteur et passager,,Lunette et vitres arrières sur-teintées,Cuir | Sport | N-Line,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec capuchons noirs | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,87 950 DT TTC,Hyundai i201.0 L T-GDI DCT-7 High Grade N Line,Métallisée,LKA,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,Noire,,,,,,,,,,,,,,,,,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Line,
Disponible,SUV,5 ans,5,5,4,Essence,5CV,84CH,118nm4000tr/min,1197CM³,Manuelle,5,Traction,4180mm,1775mm,1500mm,411L,13.5s,165KM/H,6.8L/100 km,5.0L/100 km,5.4L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Caméra avant,FCA,,Électrique,Adaptatif | Cruise control,,LED,Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 16'',,Full LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,2,,Cuir,Tissu,,Conducteur,,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,Supervision TFT LCD,,Électriques | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,78 950 DT TTC,Hyundai Bayon1.2 L Top Grade,,LKA | LFA,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminium,,,,,,,,BSD,,,Accès mains libres,,,10.25'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disponible,SUV,5 ans,5,5,3,Essence,5CV,100CH,172nm1500tr/min,998CM³,Automatique,7,Traction,4180mm,1775mm,1500mm,411L,11.7s,180KM/H,6.8L/100 km,4.7L/100 km,5.3L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Caméra avant,FCA,,Électrique,Adaptatif | Cruise control,,LED,Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 17'',,Full LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,2,,Cuir,Tissu,,Conducteur,,Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,Supervision TFT LCD,,Électriques | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,90 000 DT TTC,Hyundai Bayon1.0 L T-GDI  Top Grade BVA,,LKA | LFA,,,,Poches aumônières,,,,,,,,,,,,,,,,,,,,,,,,,,Ouvrant,,,,,Aluminium,,,,,,,,BSD,,,Accès mains libres,,,10.25'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
